t_wall [s],t_robot [s]F_x [N],F_y [N],F_z [N],T_x [Nm],T_y [Nm],T_z [Nm]
1700151701.452013,9280.758,-0.00818964343722955,-0.036548854190064525,0.03351890179502613,-0.0006683865931386466,0.003616603815578863,-0.0006635017789084765
1700151701.4743826,9280.779999999999,0.052060485611813964,0.016900616645077807,-0.051254045344142914,0.00035949111919569973,0.0014709464323198573,-0.0009431446672630603
1700151701.4776962,9280.784,-0.1228331989175927,-0.015707533917792702,0.05742761306552828,0.0012051295137256806,0.0044564914038695835,-0.003747574056400164
1700151701.4809453,9280.786,-0.11289924313178451,-0.018905094696424908,0.00205364276518837,-0.0008455309870078406,0.0021456845185165102,-0.0012119844437039951
1700151701.4889736,9280.794,-0.015341980069646892,0.019807685665271888,0.015978940588096645,0.002272476549594774,0.0026737457679494084,-0.001683383997777882
1700151701.4944286,9280.8,-0.0178231117029393,-0.09443727609600457,0.0026897402453168163,-0.0021673422301035227,0.003699812093391916,0.00013538812558652635
1700151701.497731,9280.804,-0.006057266664321177,-0.04855153236842793,0.11905043857418504,-0.0008956416587796063,0.0013137366708871553,-0.0014709113623154076
1700151701.5010142,9280.805999999999,0.04521122024434397,-0.04191636916166949,0.03502647100858862,-0.002244877195198172,0.0001345899806429358,-0.000957498895222668
1700151701.5041518,9280.81,-0.06820115193250785,0.05850453239254707,0.028854837429291406,0.003099735086246866,0.0036449939273555695,-0.0028016094830745453
1700151701.5072875,9280.814,-0.051690436861163466,0.06070572748627739,0.023221808255151195,0.002619238373506261,0.003545634651604011,-0.0005434099574547556
1700151701.5104795,9280.815999999999,-0.14081131380682818,0.001445953620875679,-0.029417811159343107,0.0032812705190202137,0.004480050500903803,-0.001379089641998988
1700151701.5137515,9280.82,-0.03199215584238987,0.039520968655140806,0.07007709406486846,0.0009666349782913474,0.0005260432531179918,-0.00038362491042971176
1700151701.5169926,9280.822,-0.0031936473118993986,0.08019733837774344,0.06025508518031737,0.0015924298902334076,0.0019090104171625346,-9.996914184217348e-05
1700151701.5202138,9280.826,0.0504310970243402,0.0038759131131123085,0.05042269978269645,0.0016250238637911545,0.0004906253049249347,-0.00014056737574502534
1700151701.5234256,9280.83,-0.0663073971852118,0.0030023618150330955,-0.022813410612142523,-0.0016302574542941528,0.0028177044728362553,-0.0010237059367011374
1700151701.5266771,9280.832,-0.045326236624458394,-0.029391643047361776,0.03378374806856298,-0.0009719337311688558,0.001773517648316924,-0.0009702934518217288
1700151701.5298605,9280.836,-0.12009419208228914,-0.05503707523237239,0.0705773107177102,-0.0010980341902199395,0.005527727460561252,-0.001518950688772324
1700151701.5331168,9280.84,-0.057992136178691006,0.015490584001369056,0.18366491813037744,-0.00021649608259971816,0.0022788081620554158,-0.0012586230559144332
1700151701.5451617,9280.851999999999,-0.01840474745817313,0.010670097479475109,0.1360956320167693,-0.000960225539921784,0.0020686820634922497,-0.0019414085977862993
1700151701.548424,9280.854,-0.013722033757302006,0.01404150390576839,0.0931119893764339,0.0007706693611123411,0.0008907875850407215,-0.0005726171981443787
1700151701.5516393,9280.858,-0.08146053356816285,0.009347140788078145,0.04203687942319231,-0.001601300465188842,0.0007032136564316673,-0.00019944282642573688
1700151701.5548484,9280.859999999999,-0.06432969725244596,0.025649341249530423,0.03759505662858554,0.0019061420618537396,0.0036727737011941724,-0.0031614832565048027
1700151701.5580437,9280.864,-0.12176635318632638,-0.013827619606072355,0.2154002624118892,-0.0006881251070714994,0.0031224033713804808,-0.0023225759954007877
1700151701.5612917,9280.868,-0.07771932009731235,-0.048034571958563976,0.0024806188187900106,-0.0024027070332182103,0.0035699486088149046,0.00023773442565835914
1700151701.564407,9280.869999999999,0.02501815193514219,0.06324139999528165,0.01662945717235899,0.0012413668679595036,0.0008252304999023757,-0.001588975535822149
1700151701.567828,9280.874,-0.14380582687680776,-0.04196158711181928,0.20323811070373046,-0.0016110762830019358,0.005159451639861501,-0.0006270915541836323
1700151701.5709968,9280.877999999999,-0.02833427386053334,-0.01975693509201841,0.003298357491750244,-0.0016904041786012071,0.003707840095098338,-0.0036340529733350957
1700151701.5741785,9280.88,0.05412022714090325,-0.043897487939511454,0.12365885234496087,-0.0007040873486218728,0.001060212365658969,-0.001945000580315841
1700151701.5776865,9280.884,-0.07936380088123003,-0.06476044337269786,0.03231975310684435,-0.002723785553448601,0.0012221134085830465,-0.0008432861458326025
1700151701.5809531,9280.886,0.07463518231169851,-0.05133297901486685,-0.08538099470008569,-0.0002286233477897045,0.0005173163950337105,-0.0031881076793983426
1700151701.5841904,9280.89,-0.08140153164478423,-0.029154100548464595,0.0641018050009231,-0.0020165019684494855,0.00310995949086903,-0.0029358063457262506
1700151701.590136,9280.895999999999,-0.08397555315561814,-0.014933149374758491,0.08416603980657499,-0.0017011880760626735,0.00417958072048067,-0.00032789881629717907
1700151701.5934925,9280.9,0.10039642553311337,0.014661406695526681,0.14389558258757112,0.0017448587258164258,0.0016208789460692324,0.00019626483752021033
1700151701.5966878,9280.902,-0.113877481292395,0.039779043952110696,0.13194386722913304,0.0017812239094741234,0.005020252359585065,-0.0003945602584866715
1700151701.5998423,9280.905999999999,-0.07732147550218244,0.07410422070613068,0.11035115891131395,0.003057545878854313,0.006246102097893654,-0.003730693775735365
1700151701.603047,9280.908,-0.11457448931280223,0.07928237008687697,0.04126168168607505,0.0031000608293760674,0.0023433654291713474,-0.0006646793851314994
1700151701.6061676,9280.912,0.03192740950996612,-0.11669265888777633,0.08493989181955357,-0.0028991109267268783,0.0009679679089628819,-0.0012116247203401767
1700151701.609304,9280.916,-0.04195945853447333,-0.08472104134209311,0.15413377794040103,-0.0038940565176027397,0.003117247671116034,-0.002743404339681867
1700151701.6125643,9280.918,0.003871617304421948,0.01807546136213167,0.18283249788753794,0.0012641097636224095,0.0012241494560701152,-0.0021335960439785675
1700151701.6156964,9280.922,-0.051397982424301644,-0.025212723263470634,0.1737968453189257,-0.002364914705293996,0.002164089646848542,-0.0024608427318085027
1700151701.6187391,9280.923999999999,-0.06854810126729775,0.012399636175940202,0.09475254564715574,-2.4689530968460775e-05,0.0019776292423678136,-0.0010238854616965378
1700151701.6218097,9280.928,-0.04877171464960916,-0.0021870229417537412,0.1388815419955207,0.0007477714848684239,0.0026084958955239538,-0.002455181800727755
1700151701.6262584,9280.931999999999,-0.007848232066396408,0.002331552658789674,0.05886324469383217,-0.0005432589058357368,0.00340082078893416,-0.0018489406143592877
1700151701.6339428,9280.939999999999,-0.04237346742145676,-0.06204697851755715,0.022909999468998302,-0.0020357813482637763,0.0017256396967975463,-0.0019428951529734063
1700151701.6371825,9280.944,-0.06512174467288927,-0.1294816588486499,0.20364652836458969,-0.0034327838601902303,0.004427683911494772,-0.0017926626371310836
1700151701.6402838,9280.946,-0.09247172888291864,0.043514622295715795,0.027021071635434532,0.0004173389189938265,0.004094056653505982,-0.0022792447234071807
1700151701.6433785,9280.949999999999,-0.019985039534842555,-0.13168544827697468,0.06179404110219027,-0.005137521515463065,0.0034158093505570124,-0.0019378647448356696
1700151701.646432,9280.952,-0.11307521981645734,-0.04512957637562505,0.332269131589757,-0.0014387477982471966,0.004292158211127657,-0.0018722924534582584
1700151701.649516,9280.956,-0.0640798780825323,-0.11914997744978033,0.04340051997913816,-0.004333923493675217,0.0018465065182010198,-0.0020717600552475584
1700151701.6526704,9280.957999999999,0.02964932834757937,-0.013446757807049953,0.12384523243746992,-0.00048735467574762714,0.002590495869871334,-0.0032462467562041682
1700151701.6559575,9280.962,-0.10781444857381087,0.056637583956224265,0.18748727120363412,0.0008585060591554476,0.003284614895520369,-0.0015045105681629246
1700151701.6590836,9280.964,-0.0028467513186549525,0.03593696121994447,0.19002781392270976,0.0005141063728158065,0.002312152354286519,-0.0015003110695594863
1700151701.6621635,9280.967999999999,-0.04675908601861663,-0.02028584321035459,0.15356910601066842,0.0009779342796063131,0.0025549853541668535,-0.0034151791295909855
1700151701.6652396,9280.972,-0.018241944093157287,-0.14787541439271457,0.11120622175250905,-0.004416433523100311,0.004194613047184535,-0.0019761324080097204
1700151701.6683671,9280.974,-0.023881308370014447,-0.11991373332629819,0.10362578184639802,-0.002146252575296323,-0.0002112414668970789,-0.0010068422347360047
1700151701.6714995,9280.978,-0.03368240203659428,-0.06182526012712701,0.08357508270424195,-0.0013457912077067533,0.0004102630339920698,-0.0013805937931874435
1700151701.682635,9280.988,-0.042084555300410956,-0.001246525867316015,0.0796904623076666,0.0003086146955732313,0.002580709615204749,-0.00034271534031458847
1700151701.686483,9280.992,-0.04345876092708874,-0.027071486282520638,0.08263514203497135,-0.0024302257836557694,0.0019405851174357984,-0.002021117835543582
1700151701.6935728,9281.0,-0.07598171696701504,0.055431193132494776,0.08250975868318647,0.001854507944093808,0.0024993851419429446,-0.0018129954686319516
1700151701.697334,9281.003999999999,0.054739856808264764,-0.02038819092284919,0.11003645652866928,-0.0014003017718920178,0.0015513001513901045,0.0005246237394671893
1700151701.701099,9281.008,-0.10960753975741486,0.0036911826989729944,0.2004787876338266,-0.0001852234397992684,0.0026605865324240887,-0.0017260285406148473
