t_wall [s],t_robot [s]F_x [N],F_y [N],F_z [N],T_x [Nm],T_y [Nm],T_z [Nm]
1700146877.5251782,4456.772,0.07556356490212471,0.0020231307937733675,0.02505415662040064,-0.0019146935012282415,-0.0015803432473805367,0.0023711737798034174
1700146877.545108,4456.7919999999995,-0.06158461974211924,-0.1124847713717039,-0.07445895459317846,-0.003466256378785053,0.0019481352349514525,-0.0007328704082576974
1700146877.5512707,4456.798,-0.08919075156655527,-0.10370036923818197,-0.08190241307146473,-0.004897960014244937,0.0010658469031247448,0.0005906157653432349
1700146877.554803,4456.802,-0.12534057952470837,0.049066119362574226,-0.10530508877217057,0.0014867559308384013,0.0008964359519625532,4.736243281986099e-06
1700146877.5582554,4456.806,-0.02661264405258898,-0.1044575773952085,-0.26268250197718884,-0.004751359624142074,-0.002431204878345338,0.001137481345168062
1700146877.561685,4456.808,0.08918310436605027,0.0162898343103709,-0.17592801818684278,0.0013032344915672755,-0.0021193604947722182,0.002633054351942574
1700146877.5650978,4456.812,-0.027471414345179523,-0.07932680277843229,-0.21450732680642837,-0.002331087761833169,-0.0015484568087770706,0.002373054815956954
1700146877.5685627,4456.816,-0.13140773057515984,0.0262505800880531,-0.15060933643279967,-0.001316359828583387,-0.00031957198023188876,0.0014321026983693322
1700146877.5718987,4456.818,-0.05660819691660368,-0.07778026443607955,-0.2546261485227554,-0.005959426163648263,0.00022494423734594694,-8.928224757088823e-05
1700146877.5884516,4456.836,-0.15160854094615042,-0.09075344165834569,-0.09035282849332364,-0.004517064248436868,0.0024727112523942755,0.0012031301949244487
1700146877.5918725,4456.838,-0.08839356446454376,-0.043300378070562494,-0.02899398062439954,-0.002095795406534341,0.002040892226548645,0.0022073561617964145
1700146877.5951989,4456.842,-0.0737351977912135,-0.10755576723787692,-0.1398953480940601,-0.0037359346273250628,-2.687694865037549e-05,0.0014353335564288438
1700146877.5985131,4456.846,-0.10756522401161875,-0.032052904867355424,-0.09332698523321196,-0.0006846616411719897,0.0020861495490347324,0.0005912667256267999
1700146877.6019654,4456.848,-0.050562159133023026,-0.10543580916433075,-0.03879204269549054,-0.004932991321292061,-0.0013526464640508918,0.0006256589325729345
1700146877.6052926,4456.852,0.006253148325311341,0.026533429306811438,-0.18738500971850422,0.0008322090948471876,-0.0004531969022836158,0.002168394112258501
1700146877.60858,4456.856,-0.14820716393506284,-0.00176296430274072,-0.0017355798667891436,-0.0008131480973924317,-0.00040604254044009774,0.0030521010212874104
1700146877.61183,4456.858,-0.10937147497618932,-0.049353438471398184,-0.15612672253658527,-0.0018154763743078578,-0.0006712813807157482,0.001210734903064461
1700146877.6151671,4456.862,0.047493517383839993,0.025358005478430784,-0.1299250818040821,-0.0015204600978820592,-0.0014111483341505823,-0.000697643211732856
1700146877.618643,4456.866,-0.059358895036283235,-0.05478223525398167,-0.1727443592274215,-0.002042506211116675,-0.0004815541601788094,0.0007772012958731743
1700146877.6218922,4456.8679999999995,-0.12436538953543783,-0.018148718207069474,0.01547690248380871,-0.0007030749200324368,0.002157605674608528,0.0007486874527699552
1700146877.625175,4456.871999999999,-0.10195921078536026,-0.04677458099987809,-0.16573623692256612,-0.0029914500953543122,0.0008078164201543151,0.0005220115809055592
1700146877.6405609,4456.888,-0.13634081854462116,-0.0011089006464675064,-0.11464637797136626,-0.0027156710991814116,0.0008576997955099881,-0.0006080925506481146
1700146877.6470954,4456.894,-0.14617434988035147,-0.0640665659017597,-0.06883676398360063,-0.002985149690772487,0.0017663972206231645,0.00037754598225449103
1700146877.650542,4456.898,0.025973602772781747,-0.07126979185294711,0.08506461077724188,-0.0037896508107855683,-0.004676644977068437,-0.00024422161292731093
1700146877.6538572,4456.9,-0.21672870478650968,0.02862946833526936,-0.016989362496009075,-0.0008161739019178327,-0.00043429383008037015,0.00043415959080930734
1700146877.657116,4456.9039999999995,-0.08556843428489282,-0.05551353209207677,-0.08488977941522015,-0.004712920142970175,0.000269155474588769,0.0036358977787246272
1700146877.6604586,4456.907999999999,-0.042087322947178644,-0.039928171624062196,-0.14599990811365204,-0.0027037335403267957,-0.00042438601537192857,0.0019941549777044757
1700146877.6638365,4456.91,-0.02593388724570704,-0.034451905088027264,-0.06408298558067038,-0.002377172107944255,-4.695934994888712e-05,0.0008042732675671575
1700146877.6671898,4456.914,-0.057481431850087306,-0.06965992135273166,-0.15337587100618705,-0.0011845338760064642,0.0006342770627618032,0.0007505891098781096
1700146877.6705494,4456.918,-0.03852674746363654,-0.06214996333005712,-0.08467023235162217,-0.0030159560101381522,-0.0003992698312575969,0.001505115511724969
