t_wall [s],t_robot [s],F_x [N],F_y [N],F_z [N],T_x [Nm],T_y [Nm],T_z [Nm]
1700150648.845784,8228.14,-0.07613766079383272,0.04350628628429419,0.07113786213895522,0.003277663308133977,0.0009290808438743094,-0.0012111528594962618
1700150648.8688202,8228.162,-0.06664182001682777,-0.08677658943382136,-0.024367327549082766,-0.001215083706744156,0.000557118740456578,-0.00012883919539193134
1700150648.8720238,8228.166,0.10242230660563015,-0.00644899562955092,-0.055795928768722095,0.0005233659265448463,-0.00199643476075561,-0.0003163993281230884
1700150648.8752222,8228.168,-0.005634237731674465,-0.023632056680738592,0.054701234941468065,0.0009712812050509173,0.0004629106795634569,0.0007453716215646322
1700150648.8784845,8228.172,0.057363416004731216,-0.053271468580847026,-0.013743721569008095,0.000719010552704445,-0.0026284401883440757,0.0008903044661954318
1700150648.8817313,8228.176,0.0821197994917592,0.07308241471769734,0.06909691931898833,0.0008366873133175863,-0.002254101711389272,-0.0004614933628025027
1700150648.8850048,8228.178,0.02756546722456169,0.035654671464151466,0.13364196194509012,0.001335209793074684,0.0008878458172640599,0.0009834477652427016
1700150648.8882382,8228.181999999999,0.12045501696503662,0.002922335681521676,0.03865971458146249,0.003282059847196776,-0.0027536118785444065,0.0006045922283772239
1700150648.891394,8228.184,0.010270761212089793,0.07750418388141693,0.06928188130231089,0.00590189221448676,-6.503729758409831e-05,-0.0007459079110289779
1700150648.8945334,8228.188,-0.042740011236498045,0.04387744002578254,0.08839945837230051,0.002477802863203732,0.000512796293534061,3.146590109996751e-05
1700150648.8977652,8228.192,0.028355518501069075,0.01365525405747514,0.18333114409548237,-0.0006737438360079361,-0.0011754589655742804,0.0010161003557551819
1700150648.9010847,8228.194,0.07043221515327944,0.005255213571443812,0.0918796667253321,-0.000881961722783996,-0.0014871550959736383,0.0010873918455006108
1700150648.9043486,8228.198,0.026527561594511844,0.0497279388174411,0.10661689800906411,0.0022791281159732176,-0.003696462095422441,-0.00022260653705208504
1700150648.9076288,8228.202,0.01645364857305636,-0.05397534515749936,-0.08628815361977628,-0.0016454968991028228,-1.23122274362179e-05,0.0006350729553484384
1700150648.9168282,8228.21,0.03675957220807591,0.06142565717422807,0.0013914504082264724,0.0010194954323310475,-0.002309700201587427,0.0005943880978007364
1700150648.9201987,8228.214,0.12263557942522567,0.013840676745951658,-0.011066844227708775,0.0019730782310368095,-0.0015927835429791395,-0.000725592452993571
1700150648.9233818,8228.216,0.03712971373903398,-0.08273638114643808,-0.14683077353987045,0.0007881132822803268,0.0005758922305586571,0.0006990638832664983
1700150648.926573,8228.22,0.025826490431040326,-0.012924431491317516,-0.08105303710145058,0.0008020708397872381,-0.0008235208556974383,0.00023943404331963655
1700150648.9297576,8228.224,-0.09480514966113007,0.018550553215423753,0.08581624004281425,0.002109004245842464,0.0025791143113142144,-0.0006148503950016199
1700150648.9329348,8228.225999999999,0.08010013196561346,0.01114054792459996,-0.027698865914961422,-0.00020275765465815383,-0.0012093496715665088,0.001398092207390308
1700150648.9360926,8228.23,-0.053339018562117854,0.009357261037591231,0.027178419978518463,0.001720699737325069,0.001783090253416125,-0.0008049644271853713
1700150648.9391706,8228.232,-0.0258042263420733,0.04431504510632336,0.016569833770813554,0.0018702031257025768,-0.0006157204910503592,-0.0004756237776888529
1700150648.9423025,8228.235999999999,0.04547079823019804,0.029650690847793048,-0.012219299477328631,0.0022761164826383224,-0.0001927230897899298,0.0008675404531584209
1700150648.945433,8228.238,-0.014017650153895228,0.026023021709244056,-0.04255318307392982,0.001697976428162633,0.00035066796648523156,6.275654271170608e-05
1700150648.9486089,8228.242,-0.04460894745506904,0.04562257197675825,0.08651957092709488,0.0020207654545420562,0.0006342489035894696,0.00032838118815762656
1700150648.9519367,8228.246,-0.011801489946791479,0.014549570807260463,0.01347544101529855,0.0004820885150889505,0.0017955246005493634,0.0006210021403214507
1700150648.9550457,8228.248,-0.019045015710522303,-0.03350565761299607,-0.10948793982436297,0.0013432020836447382,0.0019969862407260403,-0.0011108005732804525
1700150648.9668615,8228.26,-0.0027658896711581556,-0.010472121584756201,-0.08635693059357173,0.0015979914066699844,0.0011479481567658715,0.0013787790515092742
1700150648.9700823,8228.264,0.030851739251617924,0.07603432786787703,0.08433485691231986,0.0035759983328064425,0.0005669196977988267,-0.002911416818890616
1700150648.973249,8228.266,0.0315725184632333,-0.022539293084397324,0.05147129468168615,-0.0024840904940554164,0.001289394042672204,-0.0009248001138224969
1700150648.976397,8228.27,0.01680331070346515,-0.028682595103596494,0.007049107771615526,0.0014585916679015435,0.0003035231404833655,2.834432376296863e-05
1700150648.9794872,8228.271999999999,-0.06823407971960013,-0.08121937870428605,0.03581625510397446,-0.003193198038451112,0.0019310058535878679,0.00028191532492421615
1700150648.9826694,8228.276,-0.02640301099247504,-0.05667012366790224,-0.017289197271255184,-0.0007807910944847267,-0.0006692371514284192,-0.0007553400287442225
1700150648.985886,8228.279999999999,0.06327977975275366,0.07463398686848678,-0.07508030274580153,0.0026329046264324746,-0.0007939867217360132,0.0013277275287995546
1700150648.988975,8228.282,0.04787932139080128,-8.196897164848392e-05,0.06769055354389457,7.84748460741439e-05,-0.001330069043626357,0.0009999554056151093
1700150648.9920669,8228.286,0.04323353294102766,-0.0283475937386739,0.012884582010635078,0.0026889145808314547,-0.001292071549863392,0.0004450680292877141
1700150648.9951243,8228.288,0.12232957268987242,-0.05434548895690569,-0.00786212522214675,-0.0003665474074040607,-0.0033750031338921605,0.0004942541449034529
1700150648.9982054,8228.292,0.017351387133156173,-0.03142212290027262,-0.07641565282694596,-0.00044796739201245946,-0.0029826658563927,-0.0006287372469078145
1700150649.0014548,8228.294,0.04936780547052155,-0.030327960474276484,-0.13982695099190612,0.0012003293776547618,-0.0019657650370179343,0.0005019982302406084
1700150649.0045385,8228.297999999999,-0.019965269268172263,-0.042183916594295844,-0.0742131317182669,-0.001589384253257051,0.0017661803124130702,-0.00044702900273201117
1700150649.0127885,8228.306,-0.03643207991848488,0.051676443923440715,0.08151050389319324,0.0023777667904638948,0.0001608116947851439,0.0012327479828106917
1700150649.0160558,8228.31,0.0014090072734091667,-0.03635917428307246,-0.06472619044039367,3.800219691325507e-05,-0.0010769827115651442,-0.0002663060341160084
1700150649.0191522,8228.312,-0.0777513134691566,-0.0374868497166316,0.1283156427024621,-0.001622314398028233,0.002208112984892337,0.0007356279812287946
1700150649.0222468,8228.315999999999,-0.024849018542510214,-0.01956546140414788,0.08270361577388141,0.00012250312740808507,0.0005248914094645785,0.0016932374755918526
1700150649.0261178,8228.32,-0.03806480707441952,0.07453960893120301,-0.09499036972782812,0.004389844939584146,0.0031538580171760803,-9.808388028123442e-06
1700150649.0292182,8228.322,0.05057025090395251,0.004312081188958821,0.031182849234101778,0.000475630816718067,-0.0006882044780975373,-0.0008233516530151643
1700150649.032373,8228.326,-0.07083209982766288,0.008337910206777448,0.10092512262713123,0.001785748989655433,0.00013141276036879218,-0.0001439980957791002
1700150649.0354822,8228.328,0.019137884915498646,0.05525241549007671,0.03565797525892334,0.003935947511848539,-0.0002656000879641735,0.0005135190513968867
1700150649.0386164,8228.332,0.004647595972859278,0.04381226131666926,-0.04097746685044912,0.0027038669327683015,0.0009073536037778935,0.0012855465417766646
1700150649.0418017,8228.336,-0.03494377107967407,0.08672022196007015,0.009860697568800628,0.0018407120495197182,0.0030208000237322737,0.00040431631875888593
1700150649.0451627,8228.338,7.078050228668777e-05,0.04507480439395534,0.0595584385413655,0.004076418962510917,0.0002651292146005558,0.0010315146911878824
1700150649.0483177,8228.341999999999,-0.07655338159669794,0.05550274664944951,0.10807718262078782,0.0018736083167249131,0.0005743575997666251,0.0007972799438186926
1700150649.0514562,8228.344,-0.05779765341441859,-0.028002110268191948,0.01717198127834283,0.001309506642855822,0.003288272908777201,0.00017475851470778324
1700150649.0681787,8228.362,0.02764445941868145,0.037934655815651475,-0.0023286068861771,0.002343468789913759,0.0022835819000997077,0.0007813819333757547
1700150649.0713906,8228.364,-0.06528952294535052,0.0036100814344429237,0.07840900858360526,0.002427382672782543,-0.001071648558301349,0.0018535472056596903
1700150649.0745544,8228.368,0.06750157367705381,-0.015600995026040418,-0.00222199453568516,0.00016839676148496527,-0.0005732819778613726,0.0014101437582963406
1700150649.0777237,8228.372,-0.0677910422029697,-0.01311152051405604,0.1073999935941722,-0.00013307943357985407,0.0016226605066673124,-0.00025086080512325766
1700150649.0808833,8228.374,0.01096823548125647,0.045010944928201416,0.005434754961216566,0.0010484024892419093,0.003203767576366767,0.001039372868926829
1700150649.084109,8228.377999999999,0.015084717984326248,0.0068063919401571546,0.1517122217227481,0.0010273068591201326,0.0029542498992784967,-0.00032014776447867005
1700150649.0872312,8228.38,0.051657352654645314,0.06783353129090942,0.04577058875956711,0.0026779071019515256,0.0001564825506678873,0.0007829041508482769
1700150649.0903845,8228.384,0.04417045614861381,-0.016924362756958067,0.0963423134186993,0.0001572352777070282,-0.0018688618870099948,0.0024825404599749506
1700150649.093545,8228.386,0.09059849854233142,0.039692128268846334,-0.03209849105661425,0.0027128948619506,0.00032347983747204814,3.967410597621888e-05
1700150649.0966938,8228.39,-0.13414259771354484,0.0216435100062477,-0.06681390550876218,1.7699275122285564e-05,0.004990261356490511,-0.0006276804877550139
1700150649.1000268,8228.394,0.014664502373224093,0.05215757809440479,0.03491504215128663,0.0029416924756992106,-0.00024818326369651993,0.0005535623984484081
1700150649.103125,8228.395999999999,0.10194804350451049,0.034591691062242434,0.15450175645127315,0.0018094584707211581,-0.005223118200721156,-6.498786870905545e-05
1700150649.1173007,8228.41,-0.023248260304727406,-0.010464224044740478,0.14674541822481593,0.0015831298210895316,0.0017538491789113675,5.141809607095981e-05
1700150649.120569,8228.413999999999,0.0034122812822830408,-0.038001468197782294,0.21890739450644112,-0.000723517733156319,-0.0007412473877608534,-0.0007926544904203281
1700150649.1237197,8228.418,0.08823240739601534,0.0861767944241404,0.1381833143381372,0.003384669508917593,-0.0005893738004746535,0.0011023956271644603
1700150649.1268718,8228.42,0.12490366909443704,-0.026997128885380927,0.18271584986885708,-2.690199075056462e-06,-0.0028031235707908744,0.0006241193565911056
1700150649.1301193,8228.423999999999,-0.06514869133336121,0.029091212372674483,0.21876945629602107,0.0024146990054821705,0.0008682784388069579,-0.0004896521492237485
1700150649.1331966,8228.426,0.017102194502422174,0.0857330322919355,0.22040763851721606,0.0015080674420617896,-0.00032347329383691325,0.000581610242670288
1700150649.1363215,8228.43,-0.0341780400289944,-0.013399460214829028,0.20996949299733472,-0.0004958247304665901,0.0031352921506610037,0.0009868988682584375
1700150649.1394253,8228.431999999999,-0.02416941779651144,-0.0915666027726263,0.18943062349668946,-0.0016318247117826452,0.0012759113074421948,-0.00020617122049141774
1700150649.1425395,8228.436,0.07508691948722115,0.04184409893606946,0.15841074527164567,-0.00018170186323354125,-0.0019033730146230258,0.0006800776617732337
1700150649.1456468,8228.44,-0.06274850550098546,0.019291436405933834,0.212726876409374,0.000974628867248197,0.0005727171498615724,-0.0008710100502964168
1700150649.1487532,8228.442,-0.03740147227980593,-0.013897996202286239,0.14367128686292463,0.0014435980232580267,0.0009153275804253999,0.002002874187666799
1700150649.1573346,8228.449999999999,-0.01654177967033594,-0.026657259142614076,0.07781422086447375,-0.0012690808552819235,-0.0012746877146152047,0.0003311446809475125
1700150649.1605892,8228.454,0.017924890073764164,0.05120691660379412,0.11500353283558921,0.0008902810032134724,-0.0011826717658080892,-0.0017283755687630149
1700150649.1637394,8228.457999999999,-0.0006330271122488739,-0.11343784722043578,0.11557455159640985,-0.004228227223886848,-0.0012395003053301704,-2.6354279191443156e-05
1700150649.1668172,8228.46,-0.08730608175183868,-0.026960849617695994,0.13076653138026342,0.001646262324506196,0.004588393594683103,-0.0015898790606888287
1700150649.1699376,8228.464,-0.011505615430652103,0.04312478337215077,0.16603535294165842,0.0026519492962885755,0.0011211578426026652,0.00014737550112965545
1700150649.173019,8228.466,0.040576227991013784,-0.05314678460251599,0.07514495022346625,0.0006050551190565697,-0.0006258428554205769,-0.0015214145010563915
1700150649.1761296,8228.47,-0.12965978492397204,0.010710678856654596,0.05796716682541982,0.0013259535222264974,7.623102883587735e-05,-0.00010616707921080061
1700150649.1792047,8228.472,-0.033088632240275695,0.03649045026710834,0.06894027979314696,0.0012653706837548377,4.7998400186225436e-05,4.1416478645896204e-05
1700150649.1822789,8228.475999999999,0.007110443166026565,0.11612237167634142,0.09276922868610653,0.0035676059114885658,-0.00072850910507257,0.0006322862000758303
1700150649.1853406,8228.478,0.10301278413668236,-0.09240006947805458,0.11550722316320161,-0.0009294677502710796,-0.0010653064326101346,0.00011660604034402283
1700150649.188428,8228.482,-0.018380971855489002,-0.009058394241367508,0.15926649812633753,0.0003224435892691316,-0.001281880387262517,0.00034543913092838745
1700150649.191485,8228.484,0.0291509855363335,-0.01767166274742633,0.2034285514874968,0.0014933869979499403,1.6512751120807344e-05,0.0027018477860004564
1700150649.1947253,8228.488,-0.023957829354192134,0.005938586504380785,0.1902636795100077,-0.0003142522631430731,-0.0034061553402698437,-1.977578370311157e-05
1700150649.2029824,8228.496,-0.09443386168841633,-0.09093325322577578,0.030305841838381406,-0.0015846445262148274,0.003956404653382101,0.000987214548549474
1700150649.2062016,8228.5,-0.014357688712448594,0.12637123999840028,0.09616254080510296,0.003409675652139506,-0.00046663434934916256,0.0004077339128740649
1700150649.209339,8228.502,-0.09075952223224484,0.02844789304740965,0.07078676312296465,0.001999104581318888,0.0033658397715412053,-0.001166095515615748
1700150649.2150006,8228.508,0.048635977989461586,-0.02266497548166658,0.11215568142119524,0.0011102267969729368,-0.0009346867186462591,-0.0006087852674254232
1700150649.2181177,8228.511999999999,0.031365632443081375,0.09923319370841713,0.20465256525245554,0.004957112580732361,0.0012747064576895308,-9.422004016067378e-05
1700150649.2211907,8228.514,-0.04574294714902968,-0.05638009954728969,0.10228254383677408,-0.0017477095386887467,-0.00019950827181542684,0.0014402526507811763
1700150649.2256317,8228.52,-0.07984388569190139,-0.029672237713518904,0.17774801882643526,-0.0008204145005669792,0.0011270614508477755,0.0010177500323411773
1700150649.228742,8228.521999999999,-0.0532036723621801,-0.020950271501081932,0.13954163247859633,-0.00012492578523987655,-0.0007812229614289437,-0.0011292297667292092
1700150649.2319052,8228.526,-0.049664492887047156,-0.004056889747958909,0.11633877870579402,-0.00018903065292169902,0.0019614281199121578,0.0007359815862438415
1700150649.2349842,8228.528,-0.15860527227119992,0.011204209692780364,0.13775599807218225,0.002051256952596746,0.0017308522187360776,-0.0002050561504479432
