t_wall [s],t_robot [s]F_x [N],F_y [N],F_z [N],T_x [Nm],T_y [Nm],T_z [Nm]
1700149637.9879885,7217.2699999999995,0.08912843581911199,0.024369869006869084,-0.1366903265472325,0.000408089855598833,-0.004386631640662139,-0.000537600496423348
1700149638.0116284,7217.294,0.03297435407927621,-0.11765713813048473,0.014672311331793201,-0.001039785579690909,-0.0015753438192949195,0.0007954633860812259
1700149638.0147789,7217.295999999999,0.0559925395504969,-0.10481133381612111,0.08052215174508248,-0.0019620322883354665,-0.003174892427187724,0.00010510488050629761
1700149638.018037,7217.299999999999,0.037517250688379085,0.07557776115828088,0.16148061519844964,0.0028559552765323078,-0.0005327396342858173,0.0008333675597590755
1700149638.0212674,7217.304,0.037463478492567065,-0.026695183858308366,-0.0501147296215132,-0.00026117144579095063,-0.0005011039231652983,-0.0007995252052025079
1700149638.0316792,7217.313999999999,-0.036438549370913474,-0.022226508955463204,-0.07511776172843752,0.0006820266578806574,-0.0005325285036747001,0.0012726704138103203
1700149638.03492,7217.316,0.06509196875898667,0.023965473069105667,0.008063406738273193,0.0003483871008099614,-0.0040995329073379135,-0.0003038577123789621
1700149638.038023,7217.32,-0.01377572077673602,0.0172758544474677,-0.03255014212773662,-0.0004189160333352522,-0.0012166724705643533,-0.0004587463125213896
1700149638.0411513,7217.324,0.04589694762834826,-0.08224711783684623,-0.037549476835260054,-0.0026462034368837837,0.001144058759773092,-0.0005963068882654126
1700149638.044257,7217.326,0.003243714053088394,-0.033026714666388304,-0.01823900041614852,0.0004999378622833,0.0011119763539097617,-0.0016583038369325635
1700149638.0473588,7217.33,0.0932616566918055,0.024450972257781988,0.03998221586122754,0.0016019465174907466,-0.005296100646156994,0.0015588573346085705
1700149638.050491,7217.331999999999,-0.11989123482002136,0.09051018402860364,-0.04553598151428155,0.0033325843859328603,0.0013459973487302676,0.0007184641404563215
1700149638.0535674,7217.335999999999,0.028600126653389225,0.01906426339067348,0.015297992220280261,0.0007028452621423706,-0.00012712636228418443,0.0008951229589996842
