t_wall,t_robotF_x,F_y,F_z,T_x,T_y,T_z
1700146415.0930061,3994.334,1.7048596314804005,10.37461089728737,-23.362715608941077,0.003003208874064254,-0.07555319737568604,-0.00024463768937095
1700146415.2910123,3994.5319999999997,1.6178892779437835,10.34277678342059,-23.367805714089258,0.004197075397468785,-0.07278792289519262,0.00022605116151227855
1700146415.2953694,3994.5359999999996,1.6131952124394162,10.355003420973588,-23.393129287170694,0.0034371909456938255,-0.07256865444784533,-0.0002423771870114544
1700146415.2994947,3994.54,1.7029319292898137,10.320236571336943,-23.247741722106856,0.003410758975090586,-0.07354730714720163,-0.00028299384803349574
1700146415.303742,3994.544,1.6752664665658028,10.27644285402279,-23.293934495023453,0.0006639622942982054,-0.07221314049236476,0.00015253239001952865
1700146415.3078072,3994.548,1.821730887222464,10.314675696200363,-23.25545649511978,0.002781079881645211,-0.07561460668167573,0.0005501606500223624
1700146415.3118691,3994.5519999999997,1.7606270673204332,10.276974993963433,-23.30030785185077,0.001998184279371955,-0.07597996566255966,-0.0012600994732562983
1700146415.3159952,3994.556,1.7725766372500054,10.3847415147344,-23.29478656540157,0.005193152811092275,-0.07519235694737844,-0.0021832345057936353
1700146415.3200881,3994.56,1.6581863349918446,10.33397989377843,-23.383436974963196,0.005170118665850539,-0.0735720554753854,-0.0008392962512381843
1700146415.324171,3994.564,1.7171300712381012,10.280300418837184,-23.403194969467357,0.0024104531565386474,-0.07437564342723885,-0.0014620574044083
1700146415.3282862,3994.5679999999998,1.7301438726604432,10.362533563888622,-23.267495646565184,0.003411172350934263,-0.07406992599179388,-0.0008187429709273383
1700146415.4696536,3994.71,1.8932972567356012,10.409420111679259,-23.17302246060866,0.003983300550705725,-0.07672710602308891,-0.0008481027279369509
1700146415.4733615,3994.714,1.617528368183768,10.379408127593692,-23.342715498014627,0.0063149013102282185,-0.07191240074708619,-0.0014131763796860785
1700146415.4771767,3994.718,1.7087706750262184,10.27939663971251,-23.29523851171477,0.0010238793453176858,-0.07435700228759867,0.0015505281682895997
