t_wall [s],t_robot [s]F_x [N],F_y [N],F_z [N],T_x [Nm],T_y [Nm],T_z [Nm]
1700150689.4081311,8268.702,-0.14662795908415846,0.03620328903643034,-0.09902666894036724,0.0032500751956831882,0.0017647272526238403,0.00023230505841418205
1700150689.431595,8268.725999999999,-0.16079433974472299,0.013075744105102769,0.10940785345751951,0.0009636279037429027,0.0007681849152905344,-0.000141590809726392
1700150689.4349391,8268.728,-0.13501910213085944,0.04901131435254793,0.11597489678531017,0.003530186913402908,0.003553945677388076,0.000740171588046494
1700150689.438082,8268.732,-0.24360548215739267,0.1130499401021751,0.16140400255241907,0.0053706405231656595,0.0029808026480988804,-0.0007692952108289316
1700150689.4413664,8268.735999999999,-0.14363065171318032,0.015157584863196088,0.1098005744513849,0.001682688501756324,0.003533148743424948,-0.0012608904466538855
1700150689.4444592,8268.738,-0.1597548587626012,0.11846651624697849,0.16359568063238106,0.005256468051134009,0.0006583207025720802,0.0008640140514764272
1700150689.4476113,8268.742,-0.11152224163843999,-0.001856216607769098,0.06111046974829892,-0.0018523967986594841,0.0014465925758368877,0.0009276178169447453
1700150689.4507556,8268.743999999999,-0.1794218615727699,0.059679665011354174,0.022268410296810086,0.004173649821422455,0.003090298924140954,-0.0007968542790714366
1700150689.45383,8268.748,-0.26113689077206875,-0.01932460782029819,0.09103787210093334,-4.652098384094611e-06,0.004395167280447687,0.0014296126851590062
1700150689.4569607,8268.75,-0.0952060350479454,0.09243085511494714,-0.023861256883292336,0.0016464279485256775,-0.0003309912595664673,-0.00019417554949329057
1700150689.4600308,8268.753999999999,-0.04712649988102525,-0.037078239198861294,-0.04703920782492516,-0.002928509880165628,-0.002623562792345702,0.0007993597202019552
1700150689.463087,8268.756,-0.09554434427573774,-0.0014864203893102195,0.080370836159536,-0.0003462082499891923,0.0004789614779926603,-0.0005791726846960708
1700150689.4745631,8268.768,-0.09921698296755371,0.03882327797717871,-0.07332394743086976,0.0012358896494496794,0.0024351554384690792,0.00023081493737166318
1700150689.478023,8268.771999999999,-0.20783192641709605,0.0569401569237835,-0.01115345192247097,0.003495464448739561,0.002581052720101203,-0.0012249124177492231
1700150689.4812608,8268.776,-0.16247246943311086,0.07667233989305214,0.02900915835113652,0.0044969600135425294,0.00042895695733617364,0.0017022003774018251
1700150689.4845562,8268.778,-0.18338085804280915,0.033909757921887426,-0.03430455089506893,0.0011214613723880159,0.003221410447039386,0.0006594161021426793
1700150689.4876819,8268.782,-0.19830858158792042,0.11383221068720621,-0.045266865616155734,0.003732744632080286,0.0026207248125055334,0.00042288477768908446
1700150689.4909196,8268.784,-0.19642598439837264,-0.06234465669114524,-0.04705402186182274,-2.8189635641829663e-06,0.001690655162166652,-0.00017717650513346823
1700150689.4941533,8268.788,-0.16030999758198194,0.13039691245202445,-0.021421140155170503,0.005688892804934993,0.0016440842465320553,-0.002009517884953565
1700150689.4973855,8268.792,-0.111495357175016,0.07915745961004149,-0.02284091218901585,0.0023875360625326566,0.0006851815518044677,0.0017946635329351144
1700150689.5006096,8268.794,-0.168065976479125,0.06796489503613552,-0.07108154991631613,0.0022138853247998225,0.0003455377236251176,-0.001272471474478065
1700150689.503703,8268.797999999999,-0.08249694682489192,0.030515507004726654,-0.14521193055525483,0.0009952779745488686,0.001550632114585082,0.002186805017773428
1700150689.5069318,8268.8,-0.09476196227789567,0.03958780417507907,-0.11246514519828113,0.0005518987550005841,0.0002038833364025077,-0.000925741388226901
1700150689.5101666,8268.804,-0.15836105449012014,0.1023704603577085,-0.017840936708323554,0.0026643411050975845,0.0021972397623660983,0.0002755254159951623
1700150689.5134385,8268.807999999999,-0.15770638201067738,0.009476265225069367,-0.10117128053846373,0.0015416290471794141,0.004015767336192261,0.0007725495835040062
1700150689.5210824,8268.814,-0.3050995726975366,0.02366094681097318,0.10097240101677264,0.003221852466336497,0.0057779852829583644,0.0006139537327716269
1700150689.5258875,8268.82,-0.21222112611677188,0.10854426299581081,0.005034874362322809,0.0034819780920154896,0.004307757950451346,-0.000703795183721845
1700150689.529235,8268.822,-0.11124318131802219,0.011589120945077896,0.026006009975902307,0.0015651821075440488,0.0009598066844050989,0.0012930827355067773
1700150689.5325081,8268.826,-0.19793052888934284,0.027697700308798204,-0.020216055006821443,0.0023507321445798636,0.0019166221617808385,-0.000716316058688229
1700150689.5357656,8268.83,-0.2371682005983777,0.025588696068086867,-0.06473964618292989,0.001218617735246803,0.0020200799415358,2.6493330883138358e-05
1700150689.539015,8268.832,-0.1977388366258172,-0.024945124710943987,-0.08441398038470903,-0.0007110505315585828,0.001510412502309712,-0.0004409706776162286
1700150689.5422475,8268.836,-0.17402858382826134,0.03365726243782256,0.03705735989776161,0.0013504378962037762,0.003771847300710347,0.00013703166913329554
1700150689.5453596,8268.84,-0.0013847759602873906,0.06570955695467598,-0.008716615008840106,0.001170565619061858,0.00030518085316419446,-0.00032227668401409984
1700150689.5484953,8268.841999999999,-0.18916546346755675,0.09398831380728334,0.034641482650222,0.0011444193981568606,0.001152034453784905,0.00013823720199865368
1700150689.5516546,8268.846,-0.100300385267309,0.04135055699363352,0.011205905952030467,0.002139057087201373,0.0019150161287481867,-1.1326485769488905e-05
1700150689.5547302,8268.848,-0.1727417772523918,0.051262679493151865,-2.921356299308643e-05,0.003989185767882355,0.0020250176291132754,0.00020065493773552072
1700150689.5578213,8268.851999999999,-0.17137128606642937,0.13023160655961827,-0.007377879666429372,0.005228318196460544,0.00400185012891983,-0.000499691914666124
1700150689.5610201,8268.854,-0.20410693899890134,0.11177326539030123,0.060367520202105396,0.0031512425590588763,0.0034972518610775897,-0.0005184990587224699
1700150689.5768836,8268.869999999999,-0.12550277119270556,0.01788432318063105,-0.0173014561698749,0.00013996302818290078,0.0005326107864571594,-0.0010885149773267812
1700150689.5800586,8268.874,-0.20415750693751475,0.029824242447313108,-0.08297014044511065,0.00011170930471926792,0.0038095387124096446,-0.001253925159211819
1700150689.5833168,8268.877999999999,-0.20563678178895348,0.07194166985838545,0.05341837251333177,0.0026921631360872465,0.0009916432528128385,0.00020743394629397114
1700150689.5866072,8268.88,-0.1206157106289372,0.054263540892011304,0.01909152835882757,0.002553451876166015,0.003248693110247382,-0.0011907452264183218
1700150689.5898993,8268.884,-0.09947151820072347,0.053125516856144854,-0.03681370743034218,0.002999181295281836,0.0013816815625345106,0.00016770627815080195
1700150689.5933185,8268.887999999999,-0.08175332017739133,0.011073594996138511,0.03176662535811242,0.0022171689887537055,0.0004105333795388615,-0.001106535200100648
1700150689.5968142,8268.89,-0.1953763188009612,0.04272522058863827,-0.03519059765424753,0.001422847023240314,0.0013167028152328713,0.0013577425958660595
1700150689.6001596,8268.894,-0.23800985911677866,0.058463212532006745,-0.03800030847617673,0.0010824389320391336,0.002878887178435916,-0.0006037660728707971
1700150689.6033597,8268.898,-0.16954747835990325,0.027711409751899937,-0.025160511853655594,0.0016621238242645318,0.0014180270010753287,0.00017900673406990756
1700150689.6065562,8268.9,-0.19531887933362757,0.07220000593633975,0.00832537558135902,0.0030120502773464605,0.0026288212147162157,0.0011337907773373472
1700150689.6097357,8268.904,-0.21326204465191662,0.033939737897458064,-0.0015105035144403248,0.0015924795208472338,0.00392839671923047,0.000287323032594553
1700150689.6130087,8268.905999999999,-0.18323702540333248,0.03598635634943185,-0.07113427734784107,0.0007622091772096082,0.001462549525390752,0.00016170166652912051
1700150689.616516,8268.91,-0.030040393208499914,0.09340156285727064,0.030750660900963074,0.003499699098836,3.0640367181796034e-05,0.0005611250400212346
1700150689.6324701,8268.926,-0.22969903199024125,0.09610189012126888,-0.025191199236433034,0.004338281895550913,0.003693628622216558,-0.000320175941892804
1700150689.6358237,8268.93,-0.22430388477370736,0.032892692031486356,0.006946818487545117,0.0023365941269630707,0.0025241356416059344,0.001713257683534132
1700150689.6389532,8268.931999999999,-0.16906642202379701,-0.002738236233375781,0.06964482299869812,0.0004829418378568049,-0.00014659763289564702,-0.00039196323405019465
1700150689.6424859,8268.936,-0.13314396765060446,0.10874826148981173,-0.016492781168089613,0.0021900833871688692,0.00040945429912260826,-0.001269148725279962
1700150689.6456416,8268.94,-0.24761544253960638,0.026618231999741313,0.030721936925124513,0.000621249950048166,0.003429896826984091,0.0008515139083943319
1700150689.6486983,8268.942,0.00891626069823304,0.11128715691521779,-0.07332307775712105,0.0033044935960731352,-0.0009084164950801926,0.00019640916090487925
1700150689.6519744,8268.946,-0.2525080993995278,-0.022564541285745122,-0.2518451035910348,0.0007973202973826176,0.002730678329933859,0.0012143000256795873
1700150689.6550775,8268.948,-0.1267870359392292,0.020451003252764378,-0.09781524458079904,0.0005753834128113356,-0.00038098881382207545,-0.0010646512161654397
1700150689.6582909,8268.952,-0.19132831097564687,0.03994631037061661,0.029968963287352917,0.0020944674992256344,0.0015268464435818244,0.0010524035509982231
1700150689.6614597,8268.956,-0.23609804300244877,0.020958331943293374,-0.15433001102452243,0.0019084130246958772,0.0033711185836585228,-0.0008506836533079687
1700150689.6646984,8268.957999999999,-0.05990494777247141,0.046225653399121935,-0.040646843783802816,-0.0007219222133332977,-0.00216581334388384,-0.0022177363682135175
1700150689.667784,8268.962,-0.16832815964747147,-0.006410970190018248,-0.033501203700732056,0.0003109260971775719,0.0037816981010182237,-0.00013499638383517569
1700150689.6711586,8268.966,-0.13930072977711916,0.1312539380491781,-0.034162927365452525,0.0045563461158405595,-9.089434891648315e-05,0.00036158064834318027
1700150689.6802416,8268.974,-0.1229004487806315,0.03480127364665074,-0.043670550415764675,0.0013279377200436108,-0.00021103739708133357,0.0002391570779223321
1700150689.6834671,8268.978,-0.0951876647092288,0.03909197567186149,-0.024664827946546827,0.0019098022512218993,0.00012149712847705973,0.000388090881149344
