t_wall [s],t_robot [s],F_x [N],F_y [N],F_z [N],T_x [Nm],T_y [Nm],T_z [Nm]
1702926066.2901435,20473.78,-0.006249099933570428,0.04479819188919932,-0.016307367246039678,0.00020991844944332735,-0.0013399707029441885,-0.0002435640831548532
1702926066.8300307,20474.32,0.08852074864561003,-0.1547072024940395,-0.03256844367024745,-0.004277861477361492,-0.0002674013883165673,-0.0016847574075783687
1702926066.833701,20474.324,0.07749598057437691,-0.05667565429815053,-0.011150643260084666,-0.0022192000057038915,-0.0014912212451184195,-0.0028157445558903054
1702926066.8372097,20474.325999999997,0.05255772716518068,-0.2059217086310537,-0.08248499647297251,-0.007163175953067687,0.0001268015897752169,0.0008121193464442716
1702926066.8409462,20474.329999999998,0.014201581920200587,-0.04855688402938796,-0.0396019953122135,-0.0022002092076609317,0.0010216870054246476,-0.00031476504138918825
1702926066.844521,20474.334,0.07691873637702602,0.004303127620112407,-0.0512971280801417,-0.0011717454569153294,-0.0004088588878850025,-0.000637356398350872
1702926066.8482056,20474.338,0.023618767760753005,-0.03819518281462636,-0.014329456141215877,-0.0008898943653857315,0.0008615484788740377,-0.00012636411125796276
1702926066.8961754,20474.386,0.060819697217251,-0.07553847293792679,-0.09248674383271284,-0.0037991051037405757,-0.0005961851107559642,-0.0005436968734813818
1702926066.9000187,20474.39,0.016726259146518395,-0.1424137993411769,-0.05849377329274582,-0.005049370379018347,6.000151315074155e-05,0.0005438159947806097
1702926066.903562,20474.392,0.0822555470163392,-0.014985998532683717,0.0028252608767766452,-0.0012642581075330594,-0.0014487512146030555,-0.0022607136476956997
1702926066.950035,20474.44,0.0012751035523863334,-0.06495892050156932,-0.21160813155558048,-0.0015832939568346737,0.003527796547593741,-0.0027398240350076084
1702926066.9537406,20474.444,0.07566321524236662,-0.09276017097751248,-0.09628189041540981,-0.0021268089437085805,-0.0008008905394573511,-0.0010632527101811788
1702926066.9841251,20474.474,0.07984544802984829,-0.05021030968960073,-0.03687706808676248,-0.0031544821363059523,-0.0038441227743530506,-0.00015837301087766987
1702926066.988052,20474.478,0.008333054776955277,-0.03426230852186821,-0.08296980253953024,-0.0010958381057907716,0.0015391703204580677,-0.001857587460694217
1702926067.0497398,20474.54,0.008582839127361096,-0.19792945003680684,0.1597934409343003,-0.0045539075170453885,-0.0025718845076682802,-0.002127944315230143
1702926067.0534017,20474.541999999998,0.10924723437521455,-0.12133141391180743,-0.03185906676425609,-0.00309609202030607,-0.001926213463796034,-0.0008849445505002256
1702926067.0570173,20474.546,0.09876396287191307,-0.1102382616209778,0.030367287759428808,-0.0036087613114282797,0.0016925525126189253,-0.00010823537014049128
1702926067.0606077,20474.55,-0.06507634796458033,-0.062328880688490906,-0.048252812321659046,-0.002581357964700976,0.002774626174591285,-0.001760096982906514
1702926067.0641365,20474.554,0.18774602316593544,-0.07934426817390618,-0.006547663653307486,-0.0025436626964936513,-0.003910697087774157,-0.002187183042832326
1702926067.0677242,20474.557999999997,0.023041693275523068,-0.02298972739600306,0.031533966736247164,0.0009439094955220776,0.0004714378164364195,-0.0009810686675482325
1702926067.0712206,20474.559999999998,0.1454838214915145,-0.08726441658465164,-0.002491684087119137,-0.0022507173939733988,-0.0020159355281013825,-0.0015709703577490948
